steam_id,display_name,internal_name,version,translators,note
3164271154,Flail Rework Mod,FlailMod,1.1.7,ぽぷのべり,
3141716573,Generated Housing,SpawnHouses,1.0.15,ぽぷのべり,
2817254924,Gensokyo,Gensokyo,0.14.0.32,raikki77,大きめの意訳がある部分はコメントを残しています。
3065959410,Guiding Fairy (Light Pet),RareEnemyPet,1,ぽぷのべり,
2799797838,Gunsword Slime,HostiumProelium,1.0.111111,ぽぷのべり,
3311481926,Hamaxe of Regrowth,AcornHamaxe,0.2,まめ,
2853619836,Heart Crystal & Life Fruit Glow,LifeSourcesLight,1.2.0,ぽぷのべり,
2817545194,Helpful NPCs,HelpfulNPCs,2.2.2,まめ,
3119712528,High FPS Support,HighFPSSupport,0.6.6.3,まめ,
2564503881,HP Awareness,HPAware,1.0.3.4,Hurugitune,全て翻訳済み
2828041071,imkSushi's Mod,imkSushisMod,5.1.3,hazamax405,バージョン情報を記載(ぽぷのべり)
2816557864,Improved Movement Visuals,LookMod,1.3.4,ぽぷのべり,
3001536716,In-game Translate (Supports both v1.4.4 and v1.4.3),MachineTranslate,1,Hurugitune,すべて翻訳済み
3015416182,Infernum Mode Music,InfernumModeMusic,2.0.1.2,Hurugitune,全て翻訳済み
3251592253,Inventory Drag,InventoryDrag,1.1.0,ぽぷのべり,
2866111868,Item Checklist,ItemChecklist,0.7,HAKU,
2837407674,Lan's Unlimited Buff Slots,LansUnlimitedBuffSlots,2023.8.1.1,katudonsan,バージョン情報を記載(ぽぷのべり)
2817795758,Lighting Essentials,LightingEssentials,1.3.9,ぽぷのべり,
2670628346,Lights And Shadows,Lights,1.4.2,ぽぷのべり,
2847872897,Loot Beams,LootBeams,1.9.3,ぽぷのべり,
3281805198,Low Health Effects,LowHealthEffects,1.0.4,Hurugitune,全て翻訳済み。推敲途中。
2831752947,LuiAFK Reborn,miningcracks_take_on_luiafk,,katudonsan,翻訳時のバージョン不明、設定画面など一部未翻訳(ぽぷのべり)
3222493606,Luminance,Luminance,1.0.9,katudonsan,翻訳完了(katudonsan)、　バージョン情報を更新(1.0.6 → 1.0.9) (ぽぷのべり)
3069195391,Lures Display Bait,LureBaitDisplay,1.0.3,ぽぷのべり,
3024322683,Magic Builder,MagicBuilder,1.4.4.12,ぽぷのべり,
2563309347,Magic Storage,MagicStorage,0.6.0.3,hazamax405,バージョン情報を記載(ぽぷのべり)
3441211221,Map World View,MapWorldView,1.3.3,ぽぷのべり,
2565505925,Max Luck,MaxLuck,1.5,まめ,
3126942817,Microdungeons And More - A Worldgen Mod,WorldGenMod,1.1.2,ぽぷのべり,
3299699015,Mod Folder System,ModFolder,0.4.0,Hurugitune,バージョン更新有り、一部設定項目が未翻訳(ぽぷのべり)
2861550387,More Critters,MoreCritters,0.5.4,ぽぷのべり,
3055650186,More Portable Storages,MorePortableStorages,1.0.0,ぽぷのべり,
2974503494,More Pylons,EvilPylon,2.2,ぽぷのべり,
2621278406,MoreZenithItems,MoreZenith,1.3.5,katudonsan,バージョン情報を記載(ぽぷのべり)
3312585151,Multiplayer Cursors,MultiplayerCursors,1.1.2,ぽぷのべり,
2795036823,Multiple Lures,MultipleLures,1.4,ぽぷのべり,
3312725122,Munchies - Calamity Addon,Munchies_CalamityAddon,1.3.1,ぽぷのべり,
3310041861,Munchies - Consumables Checklist,Munchies,1.4.2,まめ,
2910253435,New Beginnings,NewBeginnings,1.2.0.6,Hurugitune,仮翻訳
3112814055,Nitrate,Nitrate,0.3.4,ぽぷのべり,
2835407664,No More Tombs,NoMoreTombs,2.1,ぽぷのべり,
3436253565,Not Quite Nitrate (Performance and Bug Fixes),NotQuiteNitrate,1.0.6,ぽぷのべり,
2565611547,NPC Name Display,NPCNameDisplay,1.4.4.9,ぽぷのべり,
3293218222,Off Hand Slot,OffHandidiotmod,4.4,まめ,バージョン情報を更新(4.3.9 → 4.4) (ぽぷのべり)
2939093580,Orchid Mineshaft,OrchidMineshaft,1.2.5,まめ,
2565639705,Ore Excavator,OreExcavator,0.8.9,Hurugitune,仮翻訳
2562921545,PetRenamer,PetRenamer,1.3.0.4,ぽぷのべり,
